메뉴 이름,메뉴 설명,재료,조리 과정
콩나물 잡채,"간편하게 잡채를 만들고 싶을때, 콩나물을 색다르게 무쳐보고 싶을때 만들어보세요.","콩나물 ½봉(150g), 당면 20g(국수 1인분만큼), 대파 ½대, 식용유 1작은술, 진간장 2작은술, 설탕 2작은술, 고추가루 1작은술, 다진마늘 1작은술, 후추, 참기름 약간씩, 소금 ½작은술,","1. 콩나물은 아삭하게 삶아서 물기를 빼고 식기 전에 고운소금에 무쳐두세요.<br> 2. 당면은 10분 이상 물에 불려둡니다.<br> 3. 대파는 채썰어두세요. <br>4. 팬에 식용유와 간장, 마늘을 넣고 당면이 투명해질때까지 볶아요.<br>5. 당면, 콩나물, 대파를 섞어주고 소금으로 마무리간하고 참기름을 한방울 둘러줍니다."
돼지고기 콩나물밥,"반찬 이것저것 하기 어려울 때 따끈한 콩나물밥 한그릇이면 다른 반찬이 필요없죠? 콩나물과 돼지고기, 흔한 재료를 가지고 별미밥을 만들어보세요.","쌀 540㎖(밥솥 계량컵으로 3컵, 쌀통의 3인분), 물 540㎖, 콩나물 한봉지(250g), 돼지고기 200g, 생강즙 조금(또는 생강가루 ½작은술), 소금 조금, 다진 파 2작은술, 다진 마늘 4작은술, 간장 2큰술, 물(또는 다시마육수) 2큰술, 고춧가루 1작은술, 참기름 1작은술, 통깨 1작은술","1. 돼지고기는 잘게 썰어 생강즙(또는 생강가루)에 잠시 재워둡니다. <br>2. 콩나물을 씻어 준비합니다. 이때 머리 꼬리를 따면 깔끔해보이기는 하지만 꼭 그럴 필요는 없습니다. <br>3. 쌀은 씻어서 10분 이상 불린 후 체에 밭쳐 물기를 뺍니다. <br>4. 먼저 냄비 바닥에 밑간한 고기를 깔아요. <br>5. 고기 위에 불려서 물기를 빼뒀던 쌀을 얹어요. <br>6. 밥물을 잡아요. 밥물은 평소 보다 적게 잡아요. <br>7. 밥솥의 뚜껑을 덮고 중간불 정도에서 끓여요. 밥물이 끓어 넘치면 뚜껑을 열고 수저로 밥과 고기를 섞어줘요. <br>8. 고기와 쌀을 잘 섞어준 밥 위에 콩나물을 얹고 뚜껑을 덮어요. <br>9. 콩나물 익는 냄새가 나면 불을 약하게 줄여 5분 정도 뜸을 들인 후 불을 꺼요. <br>10. 뜸이 들면 밥, 고기, 콩나물이 잘 섞이도록 훌훌 섞어 퍼요.<br> 11. 양념장 재료들을 모두 섞어 양념간장을 완성, 함께 상에 올립니다."
돼지고기 콩나물찜,콩나물과 삼겹살만 있으면 누구나 쉽게 만들 수 있는 음식으로 손님초대 음식이나 술안주로도 그만이에요.,"콩나물 1봉(300g), 돼지고기(얇게 썰은 목살이나 삼겹살) 300g, 양파 ½개, 다진 마늘 5쪽 분량, 채썬 대파 1대, 고추장, 고추가루 ½큰술, 간장, 후추 식용유 조금씩","1. 다진 마늘, 고추장, 고춧가루, 간장, 후추 식용유 등 양념을 모두 섞어둬요. <br>2. 깨끗하게 씻은 콩나물을 냄비에 앉힌 다음 돼지고기와 양파를 얹어요. <br>3. 섞어둔 양념을 끼얹고, 물은 넣지 않은 상태로 중불에서 끓여요. <br>4. 콩나물 냄새가 날 정도로 한 소큼 끓으면 뚜껑을 열어 골고루 섞어줘요.<br> 5. 뚜껑을 닫고 다시 한소큼 끓여요. <br>6. 채 썬 대파를 섞어서 담아내요."
콩나물조갯살전 ,,"콩나물 150g, 조갯살 50g, 쪽파 5대, 청양고추 2개, 홍고추 1개, 메밀가루 1컵, 찹쌀가루 2큰술, 물 1½큰술, 소금(약간), 들기름 3큰술, 식물성 기름 3큰술, 실파(송송 썬 실파) 3큰술, 간장 2큰술, 다시마(우린 물) 2큰술, 식초 1큰술",1. 콩나물은 다듬어 씻어 3㎝ 길이로 썬다. 조갯살은 체에 밭쳐 짠맛을 없앤다.<br> 2. 쪽파는 2㎝ 길이로 썰고 청양고추와 홍고추는 반을 갈라 씨가 있는 채로 송송 잘게 썬다. <br>3. 볼에 콩나물과 채소를 담고 메밀가루와 찹쌀가루를 섞어 물을 조금씩 부어 반죽한 후 약간의 소금을 넣어 간을 한다.<br>4. 팬에 들기름과 식물성 기름을 반씩 섞어 두르고 지글지글 끓어오르면 ③의 콩나물 반죽을 한 국자씩 놓고 조갯살을 얹어 노릇노릇하게 부친다. <br>5. 실파를 잔뜩 넣어 만든 초간장을 곁들여낸다.
콩나물김치 ,상큼한 야채에 아삭한 콩나물을 더한 시원하고 담백한 김치 요리입니다.,"콩나물 4줌(200g), 무 80g, 배추잎2장(50g), 멸치젓국 4큰술(60ml), 마늘 6쪽(30g), 생강(마늘 크기) 3톨(15g), 소금(소금 약간), 실고추(실고추 약간), 고춧가루(고춧가루 약간) 물 6컵(1.2L)","1. 콩나물은 물에 담가 살살 흔들어 여러 번 헹군 후 머리를 뗀다. 마늘, 생강은 가늘게 채 썬다. 무와 배추는 0.5cm 폭으로 채 썬다. 무와 배추는 소금을 뿌려 절인다. 물에 헹구고 물기를 꼭 짠다. <br>2. 냄비에 콩나물과 물 2컵을 넣어 뚜껑을 덮고 4~5분간 삶는다. 체에 밭쳐 물기를 뺀다. <br> 3. 볼에 콩나물, 무, 배추, 마늘, 생강, 멸치젓국, 실고추를 넣어 살살 버무린다. <br>4. 물에 고춧가루를 넣어 붉은색을 내고 소금으로 간한다. 03을 그릇에 담고 소금물을 붓는다."
콩나물북어국 ,해장국으로 가장 즐겨 먹는 콩나물북어국입니다. 콩나물만 끓인 가벼운 느낌의 해장국이라기보다는 북어가 들어가 보다 고소하고 진한 맛의 해장국이지요. 해장 뿐만 아니라 뜨거운 국물이 그리운 날에도 좋을 것 같습니다.,"북어채 40g, 콩나물 1줌(50g), 무 40g, 청양고추 1개(10g), 홍고추 1개(10g), 마늘(다진 마늘) 2/3큰술(7g), 대파 10cm(20g), 북어채 밑간(간장(재래간장) 1큰술(15ml), 참기름 1큰술(15ml), 물 2큰술(30ml)), 새우젓(새우젓 약간), 물 3과 1/2컵(750ml)","1. 북어채는 물에 담가 불린다. 물기를 꼭 짠 후 가늘게 찢고 길이가 긴 것을 5cm 길이로 자른다. 북어채 밑간 재료를 넣고 조물조물 버무린다. 콩나물은 물에 담가 흔들어 씻은 후 흐르는 물에 헹구고 체에 밭쳐 물기를 뺀다. 청양고추, 홍고추, 대파는 송송 썬다. 무는 사방 2cm 크기로 납작하게 썬다. <br> 2. 달군 냄비에 북어채를 넣어 볶는다. <br> 3. 무를 넣고 더 볶는다. <br> 4. 물을 붓고 콩나물을 넣어 뚜껑을 덮은 채 콩나물이 익을 때까지 한소끔 끓인다.(콩나물이 다 익을 때까지 뚜껑을 열지 않아야 콩나물 비린내가 나지 않는다.)<br> 5. 청양고추, 대파, 홍고추, 다진 마늘을 넣고 끓이다가 새우젓으로 간한다."
김치 콩나물밥,"간편한 한 끼 식사, 김치 콩나물밥 입니다.","쌀 2컵, 콩나물 200g, 배추김치 1 1/2컵, 다시마 물 2컵, 간장(양념장) 1큰술, 다시마 물 1큰술, 맛술 2큰술, 고춧가루 2작은술, 다진마늘 1작은술, 송송 썬 실파 2큰술, 참기름 2작은술, 깨소금 1작은술","1. 쌀은 씻어서 30분 정도 불려 체에 밭쳐 건집니다. <br> 2. 콩나물은 꼬리를 다듬고 씻어 물기를 뺍니다. <br>3. 배추김치는 속을 털어내고 1cm 정도의 두께로 썰어 프라이팬에 기름을 약간만 두르고 볶습니다. <br>4. 냄비에 쌀, 콩나물, 볶은 김치를 차례로 켜켜이 얹습니다. <br> 5. 4에 다시마물 2컵을 부어 밥을 고스고슬하게 짓습니다. 쌀을 너무 오래 불렸을 때에는 물 양을 조금 줄여 줍니다. <br> 6. 분량의 양념 재료를 섞어 양념장을 만들고 김치 콩나물밥에 곁들여 냅니다. "
미역 콩나물진밥,콩나물의 아스파라긴산은 숙취 해소에 도움을 주는 효소로 알려져 있죠. 콩나물은 숙취 해소뿐만 아니라 감기몸살에 걸렸거나 소화가 잘 안 될 때 먹어도 좋아요. ,"불린미역(마른미역 2g) 15g, 두부 20g, 콩나물 15g, 당근 10g, 물(또는 다시마 육수) 1/2컵, 차조밥 60g","1. 마른미역은 2g 정도 준비해 찬물에 20분 정도 불려 물기를 꼭 짜서 15g을 준비한다. <br> 2. 불린 미역과 두부는 끓는 물에 30초 정도 살짝 데친다. <br>3. 콩나물은 15g을 준비해 머리와 꼬리를 떼고 10g을 준비한다.<br> 4. 살짝 데친 두부는 으깬다. <br>5. 미역, 당근, 콩나물은 0.4cm 크기로 다진다. <br>6. 냄비에 두부, 미역, 콩나물, 당근, 물 1/2컵을 넣고 센 불로 끓인다. 물이 끓어오르면 차조밥을 넣고 약한 불로 줄이고 저어가며 10분 정도 끓인다."
코다리 콩나물찜,콩나물에 코다리를 넣어 찜요리 만들어 보세요. 부족한 영양도 보충하고 감칠맛도 더해진답니다.,"코다리 4마리, 콩나물 500g, 미나리 150g, 대파 2대, 청양고추 4개, 홍 고추 2개, 육수 1컵, 물 녹말 4큰술, 참기름 2큰술, 고춧가루 8큰술, 진간장 10큰술, 맛 술 2큰술, 올리고당 4큰술, 다진 마늘 2큰술, 다진 생강 1작은술, 후춧가루 약간, 통깨 약간","1. 코다리는 씻어 물기를 닦아 한 입 크기로 자르고 콩나물은 머리와 꼬리를 떼어 준비합니다. <br>2. 미나리는 한 입 크기로 자르고 대파, 청양고추, 홍 고추는 어슷하게 썹니다.<br> 3. 고춧가루에 분량의 재료를 섞어 양념장을 만듭니다. <br>4. 냄비에 코다리와 콩나물, 육수를 붓고 뚜껑을 덮어 10분정도 익힙니다. <br>5. 콩나물과 양념장을 넣어 고루 섞은 뒤 대파, 청양고추, 홍 고추를 넣고 5분 정도 익힙니다. <br>6. 미나리를 넣고 물 녹말을 넣어 농도를 조절한 뒤 참기름을 둘러 접시에 담아냅니다."
콩나물샐러드 ,"피로를 풀어주는 비타민C가 듬뿍 럭셔리한 콩나물샐러드, 콩나물은 제품에 따라 아삭아삭한 식감과 고소한 맛에 차이가 있습니다. ","콩나물 1봉지, 새우(중하 또는 칵테일새우) 12마리, 양상추 1/2개, 적채 2장, 오렌지주스 5큰술, 저민 생강 2~3장, 디종 머스터드 1작은술, 고운 고춧가루 1작은술, 꿀 1큰술, 올리브유 2큰술, 레몬즙 1큰술, 소금 1작은술, 후춧가루(조금) 조금","1. 콩나물은 끓는 물에 소금을 조금 넣고 뚜껑을 연 채로 아삭하게 삶은 뒤 체에 건져 차게 식힌다. <br>2. 새우는 머리를 떼고 껍데기를 벗긴 다음 등쪽에 칼집을 깊게 넣어 내장을 뺀다. 끓는 물에서 색이 변할 때까지만 살짝 데친 뒤 냉수에 바로 건진다. 럭셔리한 콩나물샐러드 요리과정<br> 3. 양상추는 잎을 3~4장 겹쳐놓고 칼로 약 5×5㎝ 크기의 정사각형 모양으로 썬다. 적채는 가능한 한 곱게 채 썬다. 럭셔리한 콩나물샐러드 요리과정<br> 4. 오렌지 고추 드레싱을 만든다. 작은 냄비에 오렌지주스와 저민 생강을 넣고 끓여 전체 양이 반 정도로 줄어들 때까지 졸인다. 차게 식힌 다음 드레싱의 나 머지 재료를 넣고 섞는다. <br>5. 접시에 양상추, 적채, 콩나물, 새우의 순서대로 올려놓고 4의 드레싱을 뿌린다."
콩나물 겨자냉채,아식아삭 새콤달콤한 콩나물 겨자냉채 입니다.,"콩나물 1봉, 맛살 6줄, 오이 1개, 연 겨자(겨자소스) 3큰술, 설탕 2큰술, 다진 마늘 1큰술, 식초 1큰술, 레몬즙 1큰술, 참기름 1/2큰술, 소금 1작은술","1. 콩나물은 끓는 물에 소금을 약간 넣고 아삭할 정도로만 데쳐 찬물에 담갔다 건져 물기를 꼭 짭니다. 콩나물 겨자냉채 요리과정 <br>2. 맛살은 3등분 한 뒤 손으로 찢습니다. 콩나물 겨자냉채 요리과정 <br>3. 오이는 3등분 하여 돌려 깎기 한 뒤 채 썰어 찬 물에 담갔다 건집니다. 콩나물 겨자냉채 요리과정 <br>4. 분량의 양념을 잘 섞어 겨자소스를 만듭니다. 콩나물 겨자냉채 요리과정<br> 5. 볼에 숙주, 맛살, 오이를 담고 겨자소스를 넣고 조물조물 무쳐 그릇에 담아냅니다."
콩나물 유부밥,,"콩나물 200g, 조갯살 100g, 쌀 2컵, 유부 20장, 소금(약간), 간장 1큰술, 맛술 1큰술, 설탕 1작은술, 물 2큰술, 간장 2큰술, 설탕 1/2큰술, 다진 파 1큰술, 다진 풋고추(약간) 1큰술, 다진 붉은 고추(약간) 1큰술, 참기름 1큰술, 깨소금 1큰술, 후춧가루(약간)","1. 콩나물은 씻어 꼬리를 다듬어 물기를 뺀다. <br>2. 조갯살은 소금물에 씻어 물기를 뺀다. <br>3. 쌀은 씻어 불린다. <br>4. 유부는 끓는 물에 데쳐 물기를 짜고 유부 양념장에 졸인다. <br>5. 쌀에 물 2컵과 콩나물, 조갯살을 넣어 밥을 짓는다. <br>6. 콩나물밥이 완성되면 양념장을 넣어 비빈다. <br>7. 유부의 한 면을 잘라 접어 넣고 콩나물밥으로 채워 유부밥을 만든다."
콩나물 부추볶음,,"콩나물 300g, 부추 70g, 돼지고기 100g, 피망 1개, 빨강 피망 1개, 마늘 1쪽, 굴소스 2작은술, 식용유 2큰술, 소금(약간), 후춧가루(약간)","1. 콩나물 머리, 꼬리를 제거한 후 끓는 소금물에 데친다.<br> 2. 부추는 5cm 길이로 자른다. 피망·붉은 피망은 5cm 길이로 자르고 돼지고기 5cm 길이로 채썬다. 마늘은 편으로 썬 후 채썬다. <br>3. 팬을 달군 후 식용유를 넣고 마늘을 볶다가 돼지고기를 넣어 볶은 후 굴소스(2작은술)를 넣고 피망·붉은 피망을 넣어 볶는다. <br>4. 콩나물을 넣어 볶다가 소금, 후춧가루로 간을 한다. 부추를 넣은 후 불을 끄고 참기름으로 향을 낸다."
콩나물 해초무침,,"콩나물 200g, 천사채 150g, 오이 1개, 붉은 고추 1개, 마요네즈 7큰술, 설탕 1 1/2큰술, 식초 3큰술, 소금 1/2작은술, 후춧가루(약간)",1. 콩나물은 흐르는 물에 씻어 건진 후 냄비에 물 1컵과 소금 1작은술을 넣어 끓인다. 끓으면 건져낸 다음 찬물에 헹궈 물기를 뺀다.<br> 2. 천사채는 체에 밭쳐 흐르는 물에 살짝 씻은 후 4cm 길이로 자른다.<br> 3. 오이는 4cm 길이로 자른 후 돌려깎기한 다음 채썬다. <br>4. 붉은 고추는 씨를 제거한 후 4cm 길이로 채썬다.<br> 5. 분량의 재료를 섞어 소스를 만든 다음 손질한 재료를 모두 넣고 무친다.
콩나물모시조개탕 ,캠핑장에서 요리하면 좋은 캠핑 콩나물모시조개탕입니다.,"모시조개, 200g, 콩나물 200g, 고추 적당량, 파 적당량, 마늘 약간","1. 모시조개는 흐르는 물에 깨끗이 씻는다. 특히, 껍질 부분은 박박 문질러 이물질을 제거한다. 콩나물도 깨끗하게 씻어놓는다. 캠핑 콩나물모시조개탕 요리과정 <br>2. 물이 팔팔 끓으면 모시조개와 콩나물을 넣는다. <br>3. 모시조개의 입이 벌어지면 국물에 뜬 거품을 제거한다. 캠핑 콩나물모시조개탕 요리과정 <br>4. 파와 고추, 마늘을 넣고 한소끔 끓인다. "
콩나물 해물 칼국수,,"콩나물 200g, 칼국수 400g, 바지락 200g, 오징어 1/2마리, 호박 50g, 다시마(적당량), 소금(약간), 물 8컵, 고춧가루 1/2큰술, 소금 2작은술, 다진 파 1큰술, 다진 마늘 1큰술, 후춧가루(약간)","1. 바지락을 소금물에 담가 해감을 토하게 한다. <br>2. 새우는 꼬치를 이용해 등 쪽에서 내장을 뺀다.<br> 3. 오징어는 껍질을 벗겨 칼집을 넣고 먹기 좋은 크기로 썬다. <br>4. 호박은 0.5cm 두께로 반달썰기를 한다. <br>5. 물 8컵에 다시마와 바지락, 새우, 오징어를 넣고 끓인다. <br>6. 국물이 끓으면 콩나물을 넣고 한소끔 끓인다. <br>7. 칼국수와 양념장을 넣고 끓인다. <br>8. 국수가 익으면 호박을 넣고 한소끔 끓인다. <br>9. 소금으로 간을 맞춘다. "
콩나물 새우젓국찌개,,"콩나물 100g, 애호박 1/4개, 두부 1/2모, 실파 2뿌리, 붉은 고추 1/3개, 다진 마늘 1/2큰술, 다시마(7×7cm) 1장, 물 3컵, 참기름 1/2큰술, 새우젓 2작은술, 소금(약간)","1. 콩나물은 다듬어 씻고 애호박은 깨끗이 씻어 반달 모양으로 썬다.<br> 2. 두부는 사방 3cm 크기로 썰고 실파는 3cm 길이로 썬다. 붉은 고추는 어슷썬다. <br>3. 냄비에 물 3컵과 다시마를 넣고 끓인다. 물이 끓으면 다시마는 건져내고 콩나물을 넣어 뚜껑을 덮고 끓인다. <br>4. 콩나물이 익으면 애호박을 넣고 끓인다. <br>5. 애호박이 거의 익으면 두부, 실파, 붉은 고추를 넣고 다진 마늘을 넣어 살짝 끓인다.<br> 6. 새우젓을 넣고 소금으로 간을 맞춘 다음 참기름을 넣어 완성한다."
콩나물 매콤 낙지볶음,매콤한 낙지의 맛을 순화시켜주는 콩나물이 있어서 먹기 좋아요. 낙지의 위력 아시죠? 쓰러진 소도 벌떡 일으켜 세운다는 스테미너 음식이랍니다. ,"낙지 4마리, 양파 1개, 청고추 2개, 홍고추 2개, 대파 1대, 깻잎 3장, 콩나물 300g, 식용유 약간, 통깨 1작은술, 참기름 1큰술, 고춧가루 4큰술, 고추장 4큰술, 간장 2큰술, 설탕 2큰술, 물엿 2큰술, 마늘(다진 것) 1큰술, 생강(다진 것) 2작은술, 소금 1작은술, 후춧가루 약간","1. 낙지에 밀가루를 뿌리고 손으로 문질러 씻은 뒤 손질하여 7~8cm 길이로 잘라 끓는 물에 살짝만 데친다. <br>2. 양파는 껍질은 벗겨 깨끗이 씻은 후 0.5cm 정도의 두께로 채 썰고, 풋고추, 홍고추, 대파는 어슷하게 썬다. <br> 3. 깻잎은 흐르는 물에 씻은 후 물기를 털어내고 돌돌 말아 채 썬다. <br>4. 볼에 분량의 양념장 재료를 고루 섞어 매운 고추장 양념을 만든다. <br> 5. 콩나물은 머리, 꼬리를 떼고 끓는 물에 소금을 약간 넣어 아삭하게 데친 다음, 얼음물에 담갔다 건져 물기를 뺀다. <br> 6. 달궈진 팬에 식용유를 약간 두르고 중불에서 양파를 볶다 고추장 양념장을 넣어 볶는다. 센불로 올린 뒤 낙지, 풋고추, 홍고추, 대파를 넣고 빠르게 볶다 마지막에 콩나물, 깻잎, 통깨, 참기름을 넣고 섞어 그릇에 담아낸다."
콩나물버섯냉채," 《동의보감》에는 콩나물이 몸이 저리거나 근육과 뼈가 아플 때 치료제로 쓰이며 수분 대사 촉진과 열을 제거하는 효과가 뛰어나다고 기록되어 있습니다. 버섯과 새우, 고기를 소복이 담아 아삭아삭한 콩나물과 곁들여 냉채로 즐겨보세요.","콩나물 300g, 어린잎채소 1줌, 새송이버섯.표고버섯 100g씩, 쇠고기(불고기용) 100g, 칵테일 새우 100g, 오징어 1/2마리, 소금.후추 약간씩 소스- 간장 4큰술, 식초 3큰술, 설탕 2큰술, 통깨 1큰술, 고추기름 1/2큰술, 참기름 약간","1. 끓는 물에 칵테일새우를 살짝 데쳐서 물기를 제거해주세요.<br>2. 끓는 물에 오징어를 통째로 살짝 데쳐서 얇게 채를 썰어주세요.<br>3. 끓는 물에 소금 한꼬집과 콩나물을 넣고 뚜껑을 닫아 살짝 데친 후 체로 건져주세요. 얼음물에 담갔다 물기를 꼭 짜주세요.<br>4. 쇠고기는 1cm 두께로 썰어주세요. 팬에 기름을 살짝 두르고 쇠고기를 중불에서 볶다가 소금과 후추로 간을 하고 식혀주세요.<br>5. 새송이버섯과 표고버섯은 0.5cm 두께로 채를 썰어주세요. 그리고 팬에 기름을 넉넉히 두르고 버섯이 너무 익지않게 중불에서 빠르게 볶아주세요. 소금, 후추로 간을 하고 식혀주세요. <br>6. 콩나물, 버섯, 쇠고기, 오징어, 칵테일새우를 그릇에 담고 어린잎채소를 얹어주세요.<br>7. 소스 재료를 섞어 먹기 직전에 뿌려주세요."
콩나물장조림 ,,"콩나물 300g, 풋고추 1개, 홍고추 ½개, 통깨(약간), 간장 5큰술, 다시마(우린 물) 5큰술, 설탕 3큰술, 청주 3큰술, 생강즙 1큰술, 물엿 1큰술",1. 콩나물은 머리와 꼬리를 잘라내고 씻어 물기를 뺀다. <br>2. 장조림 양념을 분량대로 만들어 콩나물을 담가 10시간 정도 푹 절인다. <br>3. 콩나물이 장조림에 푹 절여지면 그릇에 담고 양념장을 따라내어 냄비에 부어 걸쭉하게 조린다. <br>4. ③에 콩나물을 다시 넣어 바특하게 조려지면 풋고추와 홍고추를 채 썰어 올리고 통깨로 버무려 그릇에 담아낸다.
콩나물명란조림 ,,"콩나물 250g, 명란 100g, 대파 1대, 양파 ½개, 홍고추 1개, 소금(약간), 고춧가루(고운 고춧가루) 1큰술, 마늘(다진 마늘) 1큰술, 청주 1큰술, 간장 1작은술, 참기름 1작은술, 쌀뜨물 1컵, 물녹말 2큰술, 소금(약간)","1. 콩나물은 다듬어 씻어 물기를 턴다. <br>2. 대파와 양파, 홍고추는 굵게 채 썬다. <br>3. 명란은 물에 헹궈 터지지 않도록 준비한다.<br> 4. 물녹말만 빼고 찜 양념장을 재료의 분량대로 만든다. <br>5. 냄비에 콩나물과 대파, 양파, 명란을 차례로 올리고 찜 양념장을 끼얹어 뚜껑을 덮은 후 중간 불에서 조린다.<br> 6. 콩나물과 명란이 익으면 양념을 고루 버무리고 물녹말을 끼얹어 걸쭉한 농도로 만든다. 모자란 간은 소금으로 맞추고 채 썬 홍고추를 올려 그릇에 담아낸다. "
콩나물당면볶음 ,,"콩나물 200g, 당면(불린 당면) 100g, 청피망 ½개, 당근 30g, 양파 ½개, 쪽파 3대, 실고추(약간), 간장 2큰술, 설탕 1큰술, 맛술 1큰술, 참기름 1큰술, 마늘(다진 마늘) 1작은술, 소금(약간), 후춧가루(약간), 통깨(약간)","1. 콩나물은 꼬리만 정리하고 깨끗이 씻어 냄비에 담는다. 소금을 약간 넣고 뚜껑을 덮어 살캉하게 삶는다. <br>2. 당면은 미지근한 물에 담가 불린 후 끓는 물에 삶아 채반에 넣어 물기를 뺀다. 물기 뺀 당면은 적당한 크기로 자른다.<br> 3. 피망과 당근, 양파는 4㎝ 길이로 곱게 채 썰고 쪽파는 3㎝ 길이로 채 썬다. <br>4. 팬에 기름을 두르고 다진 마늘과 당근, 양파를 넣어 볶다가 당면, 콩나물을 넣는다. <br>5. ④에 양념장을 모두 넣어 버무려 간을 맞춘다.<br> 6. 마지막에 쪽파와 짧게 끊은 실고추를 넣어 버무려낸다."
콩나물닭살무침,,"콩나물 200g, 닭가슴살 200g, 쪽파 2대, 소금(약간), 간장 2큰술, 마늘(다진 마늘) 1큰술, 청주 1큰술, 고춧가루(고운 고춧가루) 1작은술, 참기름 1작은술, 통깨 1작은술, 소금(약간), 후춧가루(약간)",1. 콩나물은 씻어 냄비에 넣고 소금을 뿌려 뚜껑을 덮은 후 살짝 익힌다.<br> 2. 콩나물 익는 냄새가 나면 건져서 물에 헹궈 물기를 꼭 짠다. <br>3. 닭가슴살은 씻어 물기를 닦은 후 잘게 채 썰어 소금을 뿌려 팬에서 노릇하게 볶는다. <br>4. 볼에 콩나물과 닭가슴살을 담고 쪽파를 1㎝ 길이로 썰어 함께 넣고 무침 양념장으로 조물조물 무쳐낸다.
콩나물오이채무침 ,,"콩나물 200g, 팽이버섯 1봉지, 오이 1개, 실파 3대, 실고추(약간), 통깨(약간), 소금(약간), 참치액 1작은술, 마늘(다진 마늘) 1작은술, 식초 1작은술, 깨소금 1작은술, 맛술 1큰술, 설탕 1큰술, 참기름 ½작은술, 소금(약간)","1. 콩나물은 머리와 꼬리를 떼어내고 씻어서 물기를 턴다. 김이 오르는 찜기에 손질한 콩나물을 넣어 살캉하게 찐다. <br>2. 팽이버섯은 밑동을 자르고 물에 흔들어 씻어 물기를 턴다.<br> 3. 오이는 소금으로 문질러 깨끗이 씻은 후 4㎝ 길이로 잘라 돌려 깎아 곱게 채 썬다. 채 썬 오이는 소금을 뿌려서 살짝 절인 후 물에 헹궈 물기를 꼭 짠다. <br>4. 실파는 1㎝ 길이로 송송 썰고 실고추는 짧게 끊어 놓는다.<br> 5. 무침 양념장을 재료의 분량대로 섞어 미리 만든다. <br>6. 볼에 콩나물, 팽이버섯, 오이, 실파를 넣어서 무침 양념장으로 조물조물 무쳐 모자라는 간을 소금으로 맞추고 그릇에 담아 실고추와 통깨를 듬뿍 뿌려 낸다."
콩나물뱅어포무침 ,,"콩나물 150g, 뱅어포 80g, 실파(송송 썬 실파) 2큰술, 간장 2큰술, 마늘(다진 마늘) 1큰술, 청주 1작은술, 물엿 1작은술, 참기름 1작은술, 깨소금 1작은술, 실고추(약간), 소금(약간)","1. 콩나물은 씻어 김이 오르는 찜기에 넣어 살캉하게 찐다. 찐 콩나물은 찬물에 담가 싱싱하게 만들어 건진 후 물기를 꼭 짠다. <br>2. 뱅어포는 마른 팬에 구워 사방 2㎝ 크기로 자른다. <br>3. 실고추는 짧게 끊어 놓는다. <br>4. 볼에 간장과 다진 마늘, 청주, 물엿, 참기름을 넣어 고루 섞은 후 콩나물과 뱅어포를 넣어 조물조물 무친다. <br>5. ④에 깨소금, 실파, 실고추를 넣어 버무려 그릇에 담아낸다."
콩나물게살버무리 ,,"콩나물 250g, 게살(시판 게맛살) 200g, 베이비채소 ½팩, 실파 3대, 홍고추 1개, 소금(약간), 올리브오일(약간), 양파(다진 양파) 2큰술, 간장 1큰술, 마늘(다진 마늘) 1큰술, 맛술 1큰술, 참기름 1작은술, 깨소금 1작은술","1. 콩나물은 머리와 꼬리를 떼어내고 씻어 끓는 물에 올리브오일과 소금을 넣어 살짝 데쳐 찬물에 헹궈 식힌다. <br>2. 게살은 결이 잘 찢어지는 것으로 준비해서 결대로 굵게 찢어 놓는다. <br>3. 베이비채소는 씻어 물기를 털고 실파는 2㎝ 길이로 썰고 홍고추는 반을 갈라 씨를 털고 2㎝ 길이로 채 썬다. <br>4. 분량의 양념장 재료를 고루 섞어 양념장을 만든다. <br>5. 볼에 데친 콩나물과 게살, 베이비채소, 실파, 홍고추를 넣고 양념장으로 버무려 그릇에 담아낸다."
콩나물물파래무침 ,,"콩나물 200g, 물파래 100g, 실파(송송 썬 실파) 2큰술, 소금(약간), 청주(약간), 고춧가루(고운 고춧가루) 1큰술, 레몬식초 1큰술, 설탕 1큰술, 마늘(다진 마늘) 1작은술, 간장 1작은술, 통깨 1작은술, 소금(약간)","1. 콩나물은 머리와 꼬리를 떼어내고 씻어 끓는 물에 소금을 약간 넣고 데치고 찬물에 헹궈 면포로 물기를 자근자근 눌러 없앤다. <br>2. 물파래는 여러 번 물에 헹궈 잡티를 없애고 끓는 물에 청주를 넣고 데쳐 찬물에 헹군다. 물기를 꼭 짜고 도마에 올려 4등분한다. <br>3. 볼에 콩나물과 물파래를 담고 고운 고춧가루와 다진 마늘, 간장을 넣어 조물조물 무쳐 색이 들면 레몬식초와 설탕, 소금으로 간을 맞춰 맛을 낸다. <br>4. ③에 통깨를 뿌려 접시에 담고 송송 썬 실파를 얹어낸다."
